player,rank,age,elo,recent_form,bp_pressure,grass_elo,grass_form,clay_elo,clay_form,hard_elo,hard_form
Amir Omarkhanov,1137.0,17.906,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Amir Weintraub,2000.0,32.923,1480.8910970904333,0.5,5.0,1500.0,0.5,1500.0,0.5,1481.944520274266,0.5
Amit Vales,876.0,20.693,1459.863002386818,0.5,5.0,1500.0,0.5,1500.0,0.5,1468.2029641513725,0.5
Amr Elsayed Abdou Ah Mohamed,2000.0,24.917,1530.5304984710244,0.5,5.0,1500.0,0.5,1530.5304984710244,0.5,1500.0,0.5
Andrea Arnaboldi,267.0,33.027,1461.0825742219297,0.3333333333333333,5.666666666666667,1500.0,0.5,1503.668891351623,0.5,1483.3894783793064,0.5
Andrea Basso,416.0,25.593,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Andrea Collarini,264.0,32.474,1467.8115297181207,0.5,5.0,1500.0,0.5,1467.952537441871,0.5,1500.0,0.5
Andrea Pellegrino,124.0,29.172,1689.4788076393677,0.6,5.9,1500.0,0.5,1655.0619169904678,0.6,1500.0,0.5
Andrea Vavassori,282.0,30.757,1609.6491520793297,0.4,6.5,1468.5874269603748,0.5,1542.9178769492287,0.4,1559.0969235161292,0.5
Andreas Haider-Maurer,412.0,31.184,1297.6466616426596,0.0,9.5,1485.5300071982472,0.5,1365.6559811800207,0.0,1414.0454359897608,0.0
Andreas Seppi,141.0,38.289,1476.2220752508017,0.4,8.6,1529.397759939114,0.5,1320.0337650671388,0.0,1464.307597295129,0.3
Andrej Martin,115.0,32.364,1496.1224950064686,0.5,11.7,1500.0,0.5,1510.868361498134,0.5,1417.9798035172353,0.0
Andrej Nedic,285.0,21.331,1442.1411490738897,0.5,5.0,1500.0,0.5,1500.0,0.5,1469.4695015289756,0.5
Andres Andrade,257.0,27.17,1527.032051476377,0.6,5.0,1500.0,0.5,1536.6213978767835,0.6666666666666666,1501.5786819142893,0.5
Andres Martin,483.0,23.042,1501.2573379620583,0.3333333333333333,6.0,1500.0,0.5,1500.0,0.5,1488.5005174708192,0.3333333333333333
Andrew Harris,232.0,26.908,1504.6059291339723,0.5,5.0,1500.0,0.5,1500.0,0.5,1497.8767197108943,0.5
Andrew Whittington,211.0,23.893,1480.0452915741735,0.5,5.0,1484.0,0.5,1500.0,0.5,1500.0,0.5
Andrey Kuznetsov,1134.0,32.493,1453.2893083941035,0.3,6.6,1458.0559277135212,0.5,1499.0203019107216,0.5,1409.4284083869675,0.3
Andrey Rublev,13.0,28.654,1861.768017091842,0.6,9.5,1682.988192862637,0.5,1814.4635075261308,0.7,1748.4716618882937,0.6
Andy Murray,129.0,37.092,1533.0967834108608,0.4,5.5,1566.0312551632303,0.4,1526.8139678897253,0.4,1613.6289865791814,0.3
Anil Yuksel,502.0,26.886,1453.534201433377,0.5,5.0,1500.0,0.5,1484.0,0.5,1483.2637648062316,0.5
Anoosha Shahgholi,1865.0,35.233,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Ante Pavic,486.0,27.912,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Anthony Jackie Tang,1519.0,19.19,1515.876811890214,0.5,5.0,1500.0,0.5,1500.0,0.5,1515.876811890214,0.5
Anthony Susanto,2043.0,26.7,1469.4695015289756,0.5,5.0,1500.0,0.5,1500.0,0.5,1469.4695015289756,0.5
Antoine Bellier,190.0,26.303,1557.9455622400678,0.5,6.375,1516.262627684584,0.5,1500.0,0.5,1483.8372311545957,0.3333333333333333
Antoine Escoffier,172.0,31.915,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Antoine Hoang,155.0,25.878,1482.4667014385059,0.3,9.6,1500.0,0.5,1529.191028092822,0.6666666666666666,1410.6704756736458,0.2
Anton Shepp,906.0,23.293,1481.3598624268454,0.5,5.0,1500.0,0.5,1500.0,0.5,1482.597626351594,0.5
Aqeel Khan,2000.0,44.624,1524.9455446619786,0.6,9.4,1539.4972216505032,0.6666666666666666,1500.0,0.5,1533.2055471453416,0.5
Arda Azkara,551.0,22.5,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Aristotelis Thanos,1433.0,22.825,1538.516568306043,0.5,5.0,1500.0,0.5,1516.0,0.5,1506.9862597242525,0.5
Arjun Kadhe,778.0,28.066,1429.0023293421536,0.0,10.0,1500.0,0.5,1500.0,0.5,1404.9930674112159,0.0
Artem Dubrivnyy,424.0,20.701,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Artem Sitak,2000.0,30.919,1482.9052592385933,0.5,5.0,1500.0,0.5,1500.0,0.5,1482.9052592385933,0.5
Artem Smirnov,505.0,30.001,1392.1022024931635,0.5,5.0,1500.0,0.5,1500.0,0.5,1445.8457388936474,0.5
Arthur Cazaux,73.0,23.578,1675.309610402496,0.5,5.4,1492.0430463406176,0.3333333333333333,1530.7682830967626,0.3,1588.7348351695182,0.5
Arthur De Greef,202.0,26.85,1413.1878814080624,0.2857142857142857,9.142857142857142,1500.0,0.5,1422.3133744353836,0.25,1500.0425186314694,0.5
Arthur Fery,140.0,23.937,1571.8709552735431,0.5,8.8,1510.18569791319,0.5,1500.0,0.5,1527.820455027629,0.5
Arthur Fils,17.0,21.906,2048.524483084466,0.9,4.6,1536.9633881503214,0.42857142857142855,1939.806923788622,0.9,1939.004575847328,0.8
Arthur Gea,135.0,21.388,1519.263583886948,0.42857142857142855,5.714285714285714,1500.0,0.5,1447.3736513166239,0.5,1585.1778554029786,0.6
Arthur Rinderknech,24.0,30.899,1668.52657616518,0.5,5.3,1542.1554226458516,0.5,1661.3721281463568,0.6,1730.0944112566353,0.5
Aslan Karatsev,139.0,31.11,1534.3625642467682,0.2,7.5,1474.954249596521,0.3,1548.312353899471,0.5,1542.921075560536,0.4
Attila Balazs,1018.0,34.916,1448.727848955564,0.2,9.0,1500.0,0.5,1581.8318955267164,0.6,1385.9874814982293,0.0
August Holmgren,199.0,27.817,1565.4746755094086,0.6,6.2,1548.1217650155104,0.5,1500.0,0.5,1519.8793778394654,0.6
Austin Krajicek,274.0,27.086,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Aziz Dougaz,211.0,27.918,1471.4288956876528,0.5,7.2,1500.0,0.5,1509.175293382599,0.5,1466.0730395454736,0.375
Aziz Ouakaa,621.0,26.524,1414.3102289250135,0.25,7.25,1500.0,0.5,1500.0,0.5,1385.2165958757103,0.0
Beibit Zhukayev,237.0,25.002,1521.218174144863,0.3,5.3,1487.7962232315929,0.5,1500.0,0.5,1520.373686113772,0.3333333333333333
Ben Patael,562.0,22.76,1481.7236217664854,0.5,5.0,1500.0,0.5,1482.6899382187178,0.5,1500.0,0.5
Ben Shelton,5.0,23.693,1888.128509047886,0.8,5.2,1782.945357639391,0.9,1701.1740446553858,0.7,1889.5495760380848,0.8
Benedict Badza,2000.0,18.877,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Benjamin Balleret,2000.0,41.665,1464.4703442620144,0.5,5.0,1500.0,0.5,1464.700437646106,0.5,1500.0,0.5
Benjamin Becker,163.0,35.759,1437.2519603073588,0.5,5.0,1500.0,0.5,1500.0,0.5,1470.7359777687311,0.5
Benjamin Bonzi,99.0,30.007,1723.3105619741873,0.5,6.7,1540.7365562396221,0.4,1526.794776066029,0.4,1666.5288198838296,0.5
Benjamin Hannestad,1094.0,20.583,1484.713787964887,0.5,5.0,1500.0,0.5,1500.0,0.5,1486.6620548458488,0.5
Benjamin Hassan,289.0,31.053,1504.5210848280424,0.5,6.3,1500.0,0.5,1574.117825995189,0.6,1480.0551950298604,0.5
Benjamin Lock,348.0,30.919,1451.1398884232442,0.4,9.2,1500.0,0.5,1500.0,0.5,1489.335123132005,0.5
Benoit Paire,227.0,35.187,1311.450034277669,0.1,9.8,1465.570306598635,0.3,1331.1254041706713,0.1,1441.8388621747686,0.1
Bernabe Zapata Miralles,144.0,27.14,1385.6181291687515,0.1,8.6,1375.993330316375,0.0,1558.965349517036,0.3,1320.54098630475,0.2
Bernard Tomic,181.0,32.977,1482.8095767958575,0.4,8.4,1478.8545222125897,0.5,1341.5278485198712,0.1,1503.0127200594645,0.4
Billy Harris,128.0,30.946,1518.906435680771,0.4,6.5,1548.1228214682874,0.5,1486.0448994612818,0.5,1418.6486373058797,0.2
Bjorn Fratangelo,695.0,30.031,1474.4913279310283,0.4,7.1,1535.2031867767394,0.75,1407.3482340807382,0.3,1488.2756106908766,0.4
Blaise Bicknell,319.0,22.188,1496.8565158036536,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Blake Mott,481.0,24.783,1454.9793588082766,0.5,5.0,1500.0,0.5,1500.0,0.5,1455.944119468151,0.5
Blaz Kavcic,285.0,33.005,1363.118188361145,0.2,8.0,1495.374600152547,0.5,1500.0,0.5,1362.3449863887372,0.125
Blaz Rola,179.0,31.411,1419.0295651159718,0.0,8.333333333333334,1500.0,0.5,1467.349469295669,0.5,1458.6977345895536,0.5
Bogdan Borza,797.0,20.832,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Bor Artnak,467.0,21.697,1492.2275163851461,0.5,5.0,1500.0,0.5,1492.0674261372294,0.5,1500.0,0.5
Boris Arias,2000.0,30.234,1516.0,0.5,5.0,1500.0,0.5,1516.0,0.5,1500.0,0.5
Borna Coric,105.0,28.77,1415.3715956463204,0.2,7.1,1511.8875395821676,0.4,1577.5990414191035,0.4,1420.7004191956653,0.2
Borna Gojo,255.0,27.222,1557.0614455554287,0.2,4.8,1461.5143339997605,0.5,1411.4109809104552,0.16666666666666666,1639.4667703453047,0.5
Botic Van De Zandschulp,56.0,30.705,1509.6433330763728,0.3333333333333333,5.333333333333333,1500.0,0.5,1528.6206518538713,0.5,1500.0,0.5
Botic van de Zandschulp,56.0,30.697,1674.8605939138454,0.6,8.3,1492.9440067398127,0.3,1628.4120980344699,0.8,1675.8316100111929,0.5
Bradley Klahn,797.0,32.945,1375.6880288833652,0.3,6.6,1490.4123402110322,0.4,1446.5482527750914,0.5,1396.6512313055175,0.3
Brandon Holt,110.0,27.384,1378.0280227802903,0.1,7.1,1492.6408034075139,0.5,1482.1826942556836,0.5,1369.3091414054054,0.1
Brandon Nakashima,32.0,24.879,1764.2229313480796,0.6,3.9,1693.8625376831155,0.7,1579.7533861531267,0.5,1694.0783540643854,0.6
Brandon Perez,1921.0,21.678,1440.7282537643255,0.5,5.0,1500.0,0.5,1500.0,0.5,1468.283495655053,0.5
Branko Djuric,489.0,21.01,1424.960943514716,0.5,5.0,1500.0,0.5,1484.0,0.5,1450.1138771862632,0.5
Brayden Schnur,238.0,26.502,1273.629183091333,0.0,9.6,1421.4154719393473,0.5,1500.0,0.5,1323.840902382582,0.0
Brian Shi,2000.0,19.962,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Brydan Klein,235.0,27.581,1463.1170998886705,0.3333333333333333,6.0,1488.49217550104,0.5,1500.0,0.5,1482.4736563228194,0.5
Caleb Chakravarthi,2000.0,23.099,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Calvin Hemery,171.0,30.459,1361.6261912586522,0.125,6.75,1500.0,0.5,1446.2459507387773,0.25,1400.93787958685,0.0
Cameron Norrie,29.0,30.815,1710.7625626728575,0.4,7.4,1659.1017065710332,0.6,1719.1517353524719,0.5,1746.7188872720424,0.6
Camilo Ugo Carabelli,59.0,26.943,1670.214554071,0.5,7.7,1437.7691134856193,0.5,1627.821978933726,0.5,1526.435271928873,0.3
Carlos Alcaraz,2.0,22.943,2240.249490658372,0.7,3.4,1966.1207674950365,1.0,2165.0853943830184,0.9,2177.8953776210456,0.9
Carlos Berlocq,177.0,36.175,1325.7666231774597,0.2,7.5,1452.769025843264,0.3333333333333333,1324.2478206660523,0.1,1489.5349956514904,0.5
Carlos Gimeno Valero,369.0,20.851,1495.3690781278983,0.5,5.0,1500.0,0.5,1483.2604987778989,0.5,1500.0,0.5
Carlos Taberner,99.0,28.452,1583.6020541357154,0.5,7.2,1479.097884692077,0.5,1452.4858084737136,0.2,1485.6613394887963,0.4
Casper Ruud,16.0,27.441,1979.9118884045984,0.8,6.2,1481.544388502587,0.4,1962.200017855309,0.8,1778.7498956088848,0.6
Cayetano March,700.0,21.667,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Cedrik-Marcel Stebe,231.0,31.332,1454.42951473254,0.3,8.1,1454.2857979838254,0.5,1560.511486588598,0.6,1478.5192641341455,0.4
Cem Ilkel,284.0,28.452,1389.512729653296,0.4,5.7,1441.0976441008343,0.5,1371.605300465814,0.0,1451.64589474174,0.4
Cesar Cruz,2000.0,18.01,1483.6429808277467,0.5,5.0,1500.0,0.5,1484.6975098877595,0.5,1500.0,0.5
Cezar Cretu,292.0,23.389,1515.062799954725,0.5,5.0,1500.0,0.5,1500.0,0.5,1543.6405513846562,0.5
Charles Broom,248.0,26.188,1464.0485538111452,0.5,5.0,1457.9274660977944,0.5,1500.0,0.5,1500.0,0.5
Ching-Mou Yu,2000.0,22.842,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Chris Rodesch,138.0,24.578,1470.0453786447397,0.4,5.0,1487.0547442709849,0.5,1484.0,0.5,1494.6805057114082,0.5
Christian Harrison,251.0,28.079,1515.5810091790186,0.4,7.9,1476.9118931175615,0.3333333333333333,1489.7900869094815,0.5,1485.4221655818783,0.5
Christian Lindell,363.0,25.38,1500.0,0.5,5.0,1500.0,0.5,1516.0,0.5,1500.0,0.5
Christian Sigsgaard,824.0,24.972,1540.0667904375541,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Christoffer Konigsfeldt,2000.0,28.736,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Christophe Tholl,2000.0,23.127,1450.7886696614844,0.5,5.0,1500.0,0.5,1500.0,0.5,1465.5836733136014,0.5
Christopher Diaz-Figueroa,630.0,27.893,1518.1261596786403,0.5,5.0,1500.0,0.5,1500.0,0.5,1517.9782939582751,0.5
Christopher Eubanks,130.0,29.153,1572.6481139227983,0.4,4.3,1571.9871011763166,0.4,1380.6243520097112,0.1111111111111111,1511.950700745834,0.4
Christopher O'Connell,128.0,31.825,1524.7431918122902,0.4,7.1,1451.9326714567903,0.4,1442.7965079708486,0.3,1568.562779997741,0.5
Chun Hun Wong,978.0,22.437,1485.402373648406,0.5,5.0,1500.0,0.5,1500.0,0.5,1485.402373648406,0.5
Chun-Hsin Tseng,144.0,24.575,1367.6579623278326,0.2,9.3,1420.9153035081347,0.5,1417.3364731316822,0.3,1388.9299228538978,0.2
Cleeve Harper,1029.0,24.717,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Clement Chidekh,189.0,23.663,1457.9798224595743,0.5,5.0,1500.0,0.5,1500.0,0.5,1455.528049841333,0.5
Clement Tabur,171.0,26.335,1481.3771624567669,0.4,7.4,1500.0,0.5,1463.6421059911452,0.5,1495.2363679820903,0.5
Coleman Wong,109.0,21.963,1610.5930421453959,0.5,8.6,1500.0,0.5,1433.2324529299085,0.5,1632.7205222605999,0.5
Collin Altamirano,345.0,22.721,1500.0,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Colton Smith,164.0,23.072,1467.9856631334028,0.3333333333333333,7.222222222222222,1500.0,0.5,1527.7093289291524,0.6666666666666666,1449.9455228744866,0.2
Conor Gannon,1294.0,22.272,1452.7574929859643,0.5,5.0,1500.0,0.5,1500.0,0.5,1500.0,0.5
Constant Lestienne,169.0,32.701,1401.8568100959471,0.2,11.9,1399.1340421876066,0.16666666666666666,1396.6692648857534,0.0,1432.8951556919294,0.3
Corentin Denolly,328.0,27.817,1486.6688944165792,0.5,5.0,1500.0,0.5,1479.2849051658895,0.5,1500.0,0.5
